/home/tape_api/start-gw.sh: line 6: export: `BASH_FUNC_which%%=() {  ( alias;': not a valid identifier
INFO:     127.0.0.1:59440 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:36152 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:36164 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:60040 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:60044 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:38970 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:38984 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:38986 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:38994 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:39006 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:55746 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:55758 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:36012 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:36018 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:41080 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:41086 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:60722 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:60734 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:38294 - "GET /api/v1/jobs/JOB-9158502C/result HTTP/1.1" 200 OK
INFO:     127.0.0.1:38298 - "POST /api/v1/archive/files/277c1962-b825-4622-8f63-03096ac72288/recall?dir=restore/cold HTTP/1.1" 200 OK
INFO:     127.0.0.1:42448 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:42458 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:42472 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50036 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:50008 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:50010 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49572 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:49580 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49578 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:34818 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:34836 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:34832 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:43870 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:43874 - "GET /api/v1/archive/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:43900 - "GET /api/v1/archive/containers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:43884 - "GET /api/v1/archive/files?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:43908 - "GET /api/v1/archive/media HTTP/1.1" 200 OK
INFO:     127.0.0.1:43914 - "GET /api/v1/archive/tasks?limit=50 HTTP/1.1" 200 OK
INFO:     127.0.0.1:43924 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:45980 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:45982 - "GET /api/v1/archive/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:45994 - "GET /api/v1/archive/containers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:46012 - "GET /api/v1/archive/tasks?limit=50 HTTP/1.1" 200 OK
INFO:     127.0.0.1:46000 - "GET /api/v1/archive/media HTTP/1.1" 200 OK
INFO:     127.0.0.1:45992 - "GET /api/v1/archive/files?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56128 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:56150 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56144 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:45998 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:45996 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:46028 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:47330 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:47338 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:47332 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:40722 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:40738 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:40724 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:48780 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:48778 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:48794 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:39476 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:39490 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:39500 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:47328 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:47338 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:47348 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:41900 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:41932 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:41916 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:39690 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:39692 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:39702 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:40450 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:40458 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:40464 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49526 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:49550 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
